No;DATA;HORA;INCIDENTE;SEXO;IDADE;MUNICÍPIO
41290653;01/01/2020;03:27;HOMICÍDIO DOLOSO;M;27;VILA VELHA
41291841;01/01/2020;08:10;HOMICÍDIO DOLOSO;M;39;SERRA
41292282;01/01/2020;09:38;HOMICÍDIO DOLOSO;M;44;BOA ESPERANCA
41292728;01/01/2020;10:49;HOMICÍDIO DOLOSO;M;42;BOM JESUS DO NORTE
41300399;02/01/2020;11:48;HOMICÍDIO DOLOSO;F;61;VILA VELHA
41300416;02/01/2020;11:51;HOMICÍDIO DOLOSO;M;;GUARAPARI
41304091;02/01/2020;18:46;HOMICÍDIO DOLOSO;M;36;VILA VELHA
41304611;02/01/2020;19:43;HOMICÍDIO DOLOSO;M;51;ECOPORANGA
41309912;03/01/2020;14:05;HOMICÍDIO DOLOSO;M;27;VILA VELHA
41309912;03/01/2020;14:05;HOMICÍDIO DOLOSO;M;24;VILA VELHA
41309504;03/01/2020;13:14;LATROCÍNIO;M;;VILA VELHA
41318068;04/01/2020;14:27;HOMICÍDIO DOLOSO;M;;VILA VELHA
41318816;04/01/2020;16:07;HOMICÍDIO DOLOSO;M;26;SERRA
41319061;04/01/2020;16:37;HOMICÍDIO DOLOSO;M;18;VIANA
41320926;04/01/2020;16:40;HOMICÍDIO DOLOSO;M;30;LINHARES
41321143;04/01/2020;20:52;HOMICÍDIO DOLOSO;M;21;ICONHA
41315147;04/01/2020;06:39;LATROCÍNIO;M;67;LINHARES
41326824;05/01/2020;15:59;HOMICÍDIO DOLOSO;M;25;VILA VELHA
41328219;05/01/2020;19:22;HOMICÍDIO DOLOSO;M;23;SERRA
41330188;06/01/2020;04:10;HOMICÍDIO DOLOSO;M;16;ARACRUZ
41334712;06/01/2020;15:28;HOMICÍDIO DOLOSO;M;45;SERRA
41335868;06/01/2020;17:33;HOMICÍDIO DOLOSO;M;18;CARIACICA
41338814;07/01/2020;00:30;HOMICÍDIO DOLOSO;M;36;VILA VALERIO
41338735;07/01/2020;01:40;HOMICÍDIO DOLOSO;M;;LINHARES
41345233;07/01/2020;14:30;HOMICÍDIO DOLOSO;M;;COLATINA
41353910;08/01/2020;19:21;HOMICÍDIO DOLOSO;M;46;CACHOEIRO DE ITAPE
41355239;08/01/2020;22:16;HOMICÍDIO DOLOSO;M;42;VIANA
41356666;09/01/2020;07:18;HOMICÍDIO DOLOSO;M;21;VILA VELHA
41362226;09/01/2020;18:53;HOMICÍDIO DOLOSO;F;29;GUARAPARI
41364559;10/01/2020;00:47;HOMICÍDIO DOLOSO;M;23;VILA VELHA
41364971;10/01/2020;03:35;HOMICÍDIO DOLOSO;M;29;ITAPEMIRIM
41365388;10/01/2020;07:10;HOMICÍDIO DOLOSO;M;28;JAGUARE
41367768;10/01/2020;12:38;HOMICÍDIO DOLOSO;M;;SERRA
41368940;10/01/2020;14:59;HOMICÍDIO DOLOSO;M;33;VIANA
41372849;10/01/2020;23:53;HOMICÍDIO DOLOSO;M;;SERRA
41372736;10/01/2020;23:32;HOMICÍDIO DOLOSO;M;33;ANCHIETA
41380483;11/01/2020;21:59;HOMICÍDIO DOLOSO;M;29;CARIACICA
41373397;11/01/2020;01:59;HOMICÍDIO DOLOSO;M;;SERRA
41385560;12/01/2020;00:00;HOMICÍDIO DOLOSO;M;24;LINHARES
41382405;12/01/2020;02:20;HOMICÍDIO DOLOSO;M;44;VILA VALERIO
41382322;12/01/2020;02:30;HOMICÍDIO DOLOSO;M;22;MANTENOPOLIS
41386091;12/01/2020;16:58;HOMICÍDIO DOLOSO;M;33;LINHARES
41387892;12/01/2020;20:41;HOMICÍDIO DOLOSO;M;17;CARIACICA
41388856;12/01/2020;22:51;HOMICÍDIO DOLOSO;M;62;LINHARES
41389261;13/01/2020;00:21;HOMICÍDIO DOLOSO;M;30;SAO MATEUS
41389480;13/01/2020;01:54;HOMICÍDIO DOLOSO;M;29;CARIACICA
41394911;13/01/2020;16:32;HOMICÍDIO DOLOSO;M;14;SERRA
41395145;13/01/2020;17:01;HOMICÍDIO DOLOSO;M;17;SERRA
41400310;14/01/2020;10:30;HOMICÍDIO DOLOSO;M;34;VILA VELHA
41413028;15/01/2020;20:16;HOMICÍDIO DOLOSO;M;19;GUARAPARI
41413560;15/01/2020;21:30;HOMICÍDIO DOLOSO;M;47;IUNA
